office,co2e
ASCE,0.011290
ASCE,0.002509
ASCE,0.067741
ASCE,0.006272
ASCE,-0.007527
ASCE,-0.002509
ASCE,0.038640
ASCE,-0.045161
ASCE,-0.003763
ASCE,-0.011290
ASCE,-0.002509
ASCE,0.058800
ASCE,-0.067741
ASCE,-0.006272
ASCE,0.000000
ASCE,1.141730
ASCE,0.769230
ASCE,0.414960
ASCE,0.000000
ASCE,0.000000
ASCE,4.455540
ASCE,0.622960
ASCE,0.634940
ASCE,0.622960
ASCE,-0.012545
ASCE,-0.002509
ASCE,0.064680
ASCE,-0.075268
ASCE,-0.006272
ASCE,-0.010036
ASCE,-0.002509
ASCE,0.052080
ASCE,-0.060214
ASCE,-0.005018
ASCE,-0.012545
ASCE,-0.002509
ASCE,4.720120
ASCE,12.388930
ASCE,0.000000
ASCE,0.000000
ASCE,0.845880
ASCE,2.090760
ASCE,2.538730
ASCE,0.000000
ASCE,1.775460
ASCE,3.553460
ASCE,0.064680
ASCE,-0.075268
ASCE,-0.006272
ASCE,-0.025089
ASCE,-0.006272
ASCE,0.130200
ASCE,-0.150535
ASCE,-0.012545
ASCE,-0.012545
ASCE,-0.002509
ASCE,0.064680
ASCE,-0.075268
ASCE,5.585460
ASCE,1.689640
ASCE,0.688380
ASCE,2.077920
ASCE,13.694361
ASCE,1.995780
ASCE,4.300613
ASCE,3.260070
ASCE,0.000000
ASCE,0.740940
ASCE,-0.006272
ASCE,-0.007527
ASCE,-0.001254
ASCE,-0.006887
ASCE,0.038640
ASCE,-0.045161
ASCE,-0.003763
ASCE,-0.007527
ASCE,-0.001254
ASCE,0.038640
ASCE,-0.045161
ASCE,-0.003763
ASCE,-0.007527
ASCE,10.674660
ASCE,0.000000
ASCE,2.029460
ASCE,2.030730
ASCE,1.141730
ASCE,0.007527
ASCE,0.002509
ASCE,0.045161
ASCE,0.003763
ASCE,0.011290
ASCE,0.002509
ASCE,-0.001254
ASCE,0.038640
ASCE,-0.045161
ASCE,-0.003763
ASCE,-0.007527
ASCE,-0.001254
ASCE,0.038640
ASCE,-0.045161
ASCE,-0.003763
ASCE,-0.052687
ASCE,-0.012545
ASCE,0.272160
ASCE,0.002509
ASCE,0.000000
ASCE,0.007527
ASCE,0.045161
ASCE,0.003763
ASCE,-0.007527
ASCE,-0.002509
ASCE,0.038640
ASCE,-0.045161
ASCE,-0.003763
ASCE,4.765690
ASCE,28.809040
ASCE,371.732400
ASCE,258.566256
ASCE,0.000000
ASCE,211.750000
ASCE,80.850000
ASCE,0.000000
ASCE,77.550000
ASCE,0.000000
ASCE,13.887720
ASCE,10.184160
ASCE,3.888360
ASCE,3.685080
ASCE,3.055080
ASCE,0.999600
ASCE,0.139440
ASCE,0.101640
ASCE,0.038640
ASCE,0.036960
ASCE,0.030240
ASCE,0.010080
ASCE,0.034440
ASCE,0.025200
ASCE,0.010080
ASCE,0.009240
ASCE,0.007560
ASCE,0.002520
ASCE,-0.001722
ASCE,0.051240
ASCE,0.019320
ASCE,0.018480
ASCE,0.015120
ASCE,0.005040
ASCE,0.834120
ASCE,0.610680
ASCE,0.233520
ASCE,0.220920
ASCE,0.183120
ASCE,0.059640
ASCE,16.081444
ASCE,0.000000
ASCE,0.266148
ASCE,11.339243
ASCE,88.429320
ASCE,435.288840
ASCE,4.988880
ASCE,4.988880
ASCE,5.300880
ASCE,0.015054
ASCE,0.060214
ASCE,0.030107
ASCE,0.361284
ASCE,0.015054
ASCE,0.060214
ASCE,0.030107
ASCE,0.361284
ASCE,0.063977
ASCE,0.016308
ASCE,0.383864
ASCE,0.031361
ASCE,-0.015054
ASCE,-0.060214
ASCE,-0.030107
ASCE,-0.361284
ASCE,0.312480
ASCE,-0.015054
ASCE,-0.060214
ASCE,-0.030107
ASCE,0.312480
ASCE,-0.361284
ASCE,-0.063977
ASCE,-0.016308
ASCE,-0.383864
ASCE,-0.031361
ASCE,0.332640
ASCE,0.080285
ASCE,0.963425
ASCE,0.040143
ASCE,0.160571
ASCE,0.041397
ASCE,0.164334
ASCE,0.081540
ASCE,0.987259
ASCE,0.050178
ASCE,0.012545
ASCE,0.301070
ASCE,0.025089
ASCE,0.391391
ASCE,0.032616
ASCE,0.016308
ASCE,0.065232
ASCE,0.752675
ASCE,0.062723
ASCE,0.031361
ASCE,0.125446
ASCE,1.021130
ASCE,0.085303
ASCE,0.042652
ASCE,0.169352
ASCE,0.062723
ASCE,0.015054
ASCE,0.031361
ASCE,0.376338
ASCE,0.193187
ASCE,0.047669
ASCE,0.096593
ASCE,1.159120
ASCE,5.630240
ASCE,19.965297
ASCE,0.000000
ASCE,22.646100
ASCE,15.221369
ASCE,12.752980
ASCE,2.199560
ASCE,16.014960
ASCE,-0.080285
ASCE,-0.963425
ASCE,-0.040143
ASCE,-0.160571
ASCE,0.832440
ASCE,-0.041397
ASCE,-0.164334
ASCE,-0.081540
ASCE,0.853440
ASCE,-0.987259
ASCE,-0.050178
ASCE,-0.012545
ASCE,-0.301070
ASCE,-0.025089
ASCE,0.260400
ASCE,-0.391391
ASCE,-0.032616
ASCE,-0.016308
ASCE,-0.065232
ASCE,0.338520
ASCE,-0.752675
ASCE,-0.062723
ASCE,-0.031361
ASCE,-0.125446
ASCE,0.651000
ASCE,-1.021130
ASCE,-0.085303
ASCE,-0.042652
ASCE,-0.169352
ASCE,0.882840
ASCE,-0.062723
ASCE,-0.015054
ASCE,-0.031361
ASCE,-0.376338
ASCE,0.325080
ASCE,-0.193187
ASCE,-0.047669
ASCE,-0.096593
ASCE,-1.159120
ASCE,1.002960
ASCE,70.016375
ASCE,0.000000
ASCE,-0.006887
ASCE,377.651430
ASCE,387.067590
ASCE,2.508918
ASCE,17.003441
ASCE,0.008781
ASCE,0.018817
ASCE,0.005018
ASCE,0.112901
ASCE,-0.018817
ASCE,-0.005018
ASCE,0.097440
ASCE,-0.112901
ASCE,-0.008781
ASCE,2.493920
ASCE,2.771230
ASCE,0.030107
ASCE,0.007527
ASCE,0.015054
ASCE,0.180642
ASCE,0.045161
ASCE,0.011290
ASCE,0.022580
ASCE,0.270963
ASCE,-0.030107
ASCE,-0.007527
ASCE,-0.015054
ASCE,-0.180642
ASCE,0.156240
ASCE,-0.045161
ASCE,-0.011290
ASCE,-0.022580
ASCE,-0.270963
ASCE,0.234360
ASCE,1.038960
ASCE,4.371790
ASCE,0.000000
ASCE,59.642141
ASCE,6.234800
ASCE,4.666160
ASCE,10.808820
ASCE,7.696000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.150535
ASCE,0.012545
ASCE,0.025089
ASCE,0.006272
ASCE,0.262182
ASCE,0.021326
ASCE,0.011290
ASCE,0.043906
ASCE,0.036379
ASCE,0.218276
ASCE,0.018817
ASCE,0.008781
ASCE,-0.003444
ASCE,1.941903
ASCE,0.161825
ASCE,0.080285
ASCE,0.323650
ASCE,0.075268
ASCE,0.018817
ASCE,0.037634
ASCE,0.451605
ASCE,0.010036
ASCE,0.040143
ASCE,0.020071
ASCE,0.240856
ASCE,0.021326
ASCE,0.085303
ASCE,0.042652
ASCE,0.511819
ASCE,0.092830
ASCE,0.023835
ASCE,0.046415
ASCE,0.556980
ASCE,-0.000840
ASCE,-0.001680
ASCE,-0.000840
ASCE,-0.010080
ASCE,-0.002520
ASCE,-0.000840
ASCE,-0.002520
ASCE,-0.002520
ASCE,-0.150535
ASCE,-0.012545
ASCE,0.130200
ASCE,-0.025089
ASCE,-0.006272
ASCE,-0.262182
ASCE,-0.021326
ASCE,-0.011290
ASCE,-0.043906
ASCE,0.226800
ASCE,-0.036379
ASCE,0.189000
ASCE,-0.218276
ASCE,-0.018817
ASCE,-0.008781
ASCE,-1.941903
ASCE,-0.161825
ASCE,1.679160
ASCE,-0.080285
ASCE,-0.323650
ASCE,-0.075268
ASCE,-0.018817
ASCE,-0.037634
ASCE,-0.451605
ASCE,0.390600
ASCE,-0.010036
ASCE,-0.040143
ASCE,0.208320
ASCE,-0.020071
ASCE,-0.240856
ASCE,-0.021326
ASCE,-0.085303
ASCE,-0.042652
ASCE,0.442680
ASCE,-0.511819
ASCE,-0.092830
ASCE,-0.023835
ASCE,-0.046415
ASCE,-0.556980
ASCE,0.482160
ASCE,0.000520
ASCE,0.002509
ASCE,0.000000
ASCE,0.004624
ASCE,0.020807
ASCE,0.002312
ASCE,0.003120
ASCE,0.001460
ASCE,0.004770
ASCE,0.003120
ASCE,10.541300
ASCE,6.253530
ASCE,0.000000
ASCE,0.000000
ASCE,0.171861
ASCE,0.042652
ASCE,0.086558
ASCE,1.029911
ASCE,0.052687
ASCE,0.012545
ASCE,0.026344
ASCE,0.316124
ASCE,-0.010080
ASCE,-0.003360
ASCE,-0.171861
ASCE,-0.042652
ASCE,0.891240
ASCE,-0.086558
ASCE,-1.029911
ASCE,0.273000
ASCE,-0.052687
ASCE,-0.012545
ASCE,-0.026344
ASCE,-0.316124
ASCE,0.001540
ASCE,0.006930
ASCE,0.000770
ASCE,0.005960
ASCE,0.000000
ASCE,10.597600
ASCE,0.127955
ASCE,0.032616
ASCE,0.766474
ASCE,0.663600
ASCE,0.063977
ASCE,-0.127955
ASCE,-0.032616
ASCE,-0.766474
ASCE,-0.063977
ASCE,5.016960
ASCE,2.735280
ASCE,0.000000
ASCE,0.000000
ASCE,2.735280
ASCE,0.000000
ASCE,0.000000
ASCE,12.791480
ASCE,165.048000
ASCE,321.317895
ASCE,22.800640
ASCE,173.481000
ASCE,57.474782
ASCE,23.410606
ASCE,23.410606
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.005166
ASCE,-0.005166
ASCE,-0.117085
ASCE,-0.046490
ASCE,-0.010331
ASCE,-0.010331
ASCE,-0.010331
ASCE,-0.013775
ASCE,-0.005166
ASCE,-0.024106
ASCE,-0.008609
ASCE,-0.005166
ASCE,-0.005166
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.003444
ASCE,-0.001722
ASCE,-0.012053
ASCE,-0.024106
ASCE,-0.008609
ASCE,-0.005166
ASCE,-0.005166
ASCE,-0.010331
ASCE,-0.003444
ASCE,-0.003444
ASCE,-0.058543
ASCE,-0.044768
ASCE,-0.012053
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.005166
ASCE,-0.006887
ASCE,-0.005166
ASCE,-0.001722
ASCE,-0.001722
ASCE,-0.012053
ASCE,-0.005166
ASCE,-0.006887
ASCE,-0.003444
ASCE,-0.046490
ASCE,-0.018940
ASCE,-0.008609
ASCE,-0.008609
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.003444
ASCE,-0.005166
ASCE,-0.006887
ASCE,-0.001722
ASCE,-0.003444
ASCE,-0.058543
ASCE,-0.024106
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.005166
ASCE,-0.005166
ASCE,-0.005166
ASCE,-0.006887
ASCE,-0.003444
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.094701
ASCE,-0.037881
ASCE,-0.018940
ASCE,-0.018940
ASCE,-0.017218
ASCE,-0.005166
ASCE,-0.049933
ASCE,-0.094701
ASCE,-0.037881
ASCE,-0.018940
ASCE,-0.018940
ASCE,-0.039602
ASCE,-0.012053
ASCE,-0.017218
ASCE,-0.234171
ASCE,-0.180794
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.046490
ASCE,-0.018940
ASCE,-0.027550
ASCE,-0.020662
ASCE,-0.006887
ASCE,-0.003444
ASCE,-0.046490
ASCE,-0.018940
ASCE,-0.027550
ASCE,-0.017218
ASCE,-0.001722
ASCE,-0.187681
ASCE,-0.075761
ASCE,-0.037881
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.037881
ASCE,-0.017218
ASCE,-0.024106
ASCE,-0.008609
ASCE,-0.001722
ASCE,-0.029271
ASCE,-0.010331
ASCE,-0.046490
ASCE,-0.018940
ASCE,-0.027550
ASCE,-0.008609
ASCE,-0.001722
ASCE,-0.008609
ASCE,-0.234171
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.094701
ASCE,-0.022384
ASCE,-0.022384
ASCE,-0.022384
ASCE,-0.027550
ASCE,-0.008609
ASCE,-0.563043
ASCE,-0.227283
ASCE,-0.111920
ASCE,-0.111920
ASCE,-0.099867
ASCE,-0.036159
ASCE,-0.301323
ASCE,-0.563043
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.227283
ASCE,-0.111920
ASCE,-0.111920
ASCE,-0.241058
ASCE,-0.077483
ASCE,-0.008609
ASCE,-0.099867
ASCE,-1.408468
ASCE,-1.089927
ASCE,-0.282382
ASCE,-0.113642
ASCE,-0.168741
ASCE,-0.120529
ASCE,-0.037881
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.024106
ASCE,-0.282382
ASCE,-0.113642
ASCE,-0.168741
ASCE,-0.099867
ASCE,-0.010331
ASCE,-1.127808
ASCE,-0.454567
ASCE,-0.225562
ASCE,-0.225562
ASCE,-0.099867
ASCE,-0.149800
ASCE,-0.049933
ASCE,-0.008609
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.173906
ASCE,-0.061986
ASCE,-0.282382
ASCE,-0.113642
ASCE,-0.168741
ASCE,-0.049933
ASCE,-0.008609
ASCE,-0.049933
ASCE,-1.408468
ASCE,-0.568209
ASCE,-0.129138
ASCE,-0.129138
ASCE,-0.132582
ASCE,-0.165297
ASCE,0.000000
ASCE,-1.878532
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
