office,co2e
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,0.010036
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.060214
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,0.025089
Associated Students Concerts & Events,0.006272
Associated Students Concerts & Events,-0.150535
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.112901
Associated Students Concerts & Events,-0.027598
Associated Students Concerts & Events,0.587160
Associated Students Concerts & Events,-0.677408
Associated Students Concerts & Events,-0.056451
Associated Students Concerts & Events,-0.022580
Associated Students Concerts & Events,-0.005018
Associated Students Concerts & Events,0.116760
Associated Students Concerts & Events,-0.135482
Associated Students Concerts & Events,-0.011290
Associated Students Concerts & Events,0.150535
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.023835
Associated Students Concerts & Events,0.006272
Associated Students Concerts & Events,0.011290
Associated Students Concerts & Events,0.143008
Associated Students Concerts & Events,0.017562
Associated Students Concerts & Events,0.003763
Associated Students Concerts & Events,0.105375
Associated Students Concerts & Events,0.008781
Associated Students Concerts & Events,0.035125
Associated Students Concerts & Events,0.008781
Associated Students Concerts & Events,-0.047669
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,0.247800
Associated Students Concerts & Events,-0.287271
Associated Students Concerts & Events,-0.023835
Associated Students Concerts & Events,-0.037634
Associated Students Concerts & Events,-0.008781
Associated Students Concerts & Events,0.190680
Associated Students Concerts & Events,-0.220785
Associated Students Concerts & Events,-0.018817
Associated Students Concerts & Events,-0.008781
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.210749
Associated Students Concerts & Events,0.017562
Associated Students Concerts & Events,0.055196
Associated Students Concerts & Events,0.013799
Associated Students Concerts & Events,0.331177
Associated Students Concerts & Events,0.027598
Associated Students Concerts & Events,0.020071
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,0.120428
Associated Students Concerts & Events,0.010036
Associated Students Concerts & Events,0.011290
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.045360
Associated Students Concerts & Events,-0.052687
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,-0.008781
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.045360
Associated Students Concerts & Events,-0.052687
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,-0.025089
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,0.130200
Associated Students Concerts & Events,-0.150535
Associated Students Concerts & Events,0.067741
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,0.025089
Associated Students Concerts & Events,0.006272
Associated Students Concerts & Events,0.150535
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.112901
Associated Students Concerts & Events,0.027598
Associated Students Concerts & Events,0.677408
Associated Students Concerts & Events,0.056451
Associated Students Concerts & Events,0.022580
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.002509
